rank,character,read_value,candidates,correct
1,Falco,3.0,{'3.0': 3},
1,Mr Game and Watch,3.0,{'3.0': 3},
1,Pac-Man,3.0,{'3.0': 3},
1,Cloud,3.0,{'3.0': 3},
5,Mario,2.92,{'2.92': 3},
6,Banjo and Kazooie,2.75,{'2.75': 3},
7,Lucina,2.56,{'2.56': 3},
8,King Dedede,2.51,{'2.51': 6},
9,Little Mac,2.5,{'2.5': 3},
9,King K Rool,2.5,{'2.5': 3},
11,Ganondorf,2.4,{'2.4': 3},
12,Mewtwo,2.0,{'2.0': 3},
13,Donkey Kong,0.0,{'0.0': 3},
13,Link,0.0,{'0.0': 3},
13,Samus,0.0,{'0.0': 6},
13,Dark Samus,0.0,{'0.0': 3},
13,Yoshi,0.0,{'0.0': 3},
13,Kirby,0.0,{'0.0': 3},
13,Fox,0.0,{'0.0': 3},
13,Pikachu,0.0,{'0.0': 3},
13,Luigi,0.0,{'0.0': 3},
13,Ness,0.0,{'0.0': 3},
13,Captain Falcon,0.0,{'0.0': 3},
13,Jigglypuff,0.0,{'0.0': 3},
13,Peach,0.0,{'0.0': 3},
13,Daisy,0.0,{'0.0': 3},
13,Bowser,0.0,{'0.0': 3},
13,Ice Climbers,0.0,{'0.0': 3},
13,Sheik,0.0,{'0.0': 3},
13,Zelda,0.0,{'0.0': 3},
13,Dr Mario,0.0,{'0.0': 3},
13,Pichu,0.0,{'0.0': 3},
13,Marth,0.0,{'0.0': 3},
13,Young Link,0.0,{'0.0': 3},
13,Roy,0.0,{'0.0': 3},
13,Chrom,0.0,{'0.0': 3},
13,Meta Knight,0.0,{'0.0': 6},
13,Pit,0.0,{'0.0': 3},
13,Dark Pit,0.0,{'0.0': 3},
13,Zero Suit Samus,0.0,{'0.0': 3},
13,Wario,0.0,{'0.0': 3},
13,Snake,0.0,{'0.0': 3},
13,Ike,0.0,{'0.0': 3},
13,Pokemon Trainer,0.0,{'0.0': 3},
13,Diddy Kong,0.0,{'0.0': 3},
13,Lucas,0.0,{'0.0': 3},
13,Sonic,0.0,{'0.0': 3},
13,Olimar,0.0,{'0.0': 3},
13,Lucario,0.0,{'0.0': 3},
13,ROB,0.0,{'0.0': 3},
13,Toon Link,0.0,{'0.0': 3},
13,Sephiroth,0.0,{'0.0': 9},
13,Villager,0.0,{'0.0': 3},
13,Mega Man,0.0,{'0.0': 3},
13,Wii Fit Trainer,0.0,{'0.0': 3},
13,Rosalina and Luma,0.0,{'0.0': 3},
13,Greninja,0.0,{'0.0': 3},
13,Palutena,0.0,{'0.0': 3},
13,Robin,0.0,{'0.0': 6},
13,Shulk,0.0,{'0.0': 3},
13,Bowser Jr,0.0,{'0.0': 3},
13,Duck Hunt,0.0,{'0.0': 3},
13,Ryu,0.0,{'0.0': 3},
13,Ken,0.0,{'0.0': 3},
13,Corrin,0.0,{'0.0': 3},
13,Bayonetta,0.0,{'0.0': 6},
13,Inkling,0.0,{'0.0': 3},
13,Ridley,0.0,{'0.0': 3},
13,Simon,0.0,{'0.0': 3},
13,Richter,0.0,{'0.0': 3},
13,Isabelle,0.0,{'0.0': 3},
13,Incineroar,0.0,{'0.0': 3},
13,Piranha Plant,0.0,{'0.0': 6},
13,Joker,0.0,{'0.0': 3},
13,Hero,0.0,{'0.0': 3},
13,Terry,0.0,{'0.0': 3},
13,Byleth,0.0,{'0.0': 3},
13,Min Min,0.0,{'0.0': 3},
13,Steve,0.0,{'0.0': 6},
13,Pyra-Mythra,0.0,{'0.0': 3},
13,Kazuya,0.0,{'0.0': 3},
13,Sora,0.0,{'0.0': 3},
13,Mii Brawler,0.0,{'0.0': 3},
13,Mii Swordsman,0.0,{'0.0': 3},
13,Mii Gunner,0.0,{'0.0': 3},
