rank,character,read_value,candidates,correct
1,Banjo and Kazooie,18.0,{'18': 3},
2,King Dedede,15.0,{'15': 3},
3,Mario,12.0,{'12': 3},
3,Lucina,12.0,{'12': 3},
5,King K Rool,7.0,{'7': 3},
6,Ganondorf,4.0,{'4': 3},
7,Falco,1.0,{'1': 3},
7,Mewtwo,1.0,{'1': 3},
7,Pac-Man,1.0,{'1': 3},
10,Mr Game and Watch,0.0,{'0': 1},
10,Little Mac,0.0,{'0': 2},
10,Cloud,0.0,{'0': 3},
10,Donkey Kong,0.0,{'0': 2},
10,Link,0.0,{'0': 1},
10,Samus,0.0,{'0': 1},
10,Dark Samus,0.0,{'0': 1},
10,Yoshi,0.0,{'0': 1},
10,Kirby,0.0,{'0': 2},
10,Fox,0.0,{'0': 2},
10,Pikachu,0.0,{'0': 2},
10,Luigi,0.0,{'0': 2},
10,Ness,0.0,{'0': 1},
10,Captain Falcon,0.0,{'0': 2},
10,Jigglypuff,0.0,{'0': 2},
10,Peach,0.0,{'0': 1},
10,Daisy,0.0,{'0': 2},
10,Bowser,0.0,{'0': 2},
10,Ice Climbers,0.0,{'0': 1},
10,Sheik,0.0,{'0': 2},
10,Zelda,0.0,{'0': 2},
10,Dr Mario,0.0,{'0': 2},
10,Pichu,0.0,{'0': 1},
10,Marth,0.0,{'0': 2},
10,Young Link,0.0,{'0': 1},
10,Roy,0.0,{'0': 2},
10,Chrom,0.0,{'0': 1},
10,Meta Knight,0.0,{'0': 2},
10,Pit,0.0,{'0': 1},
10,Dark Pit,0.0,{'0': 1},
10,Zero Suit Samus,0.0,{'0': 2},
10,Wario,0.0,{'0': 2},
10,Snake,0.0,{'0': 1},
10,Ike,0.0,{'0': 1},
10,Pokemon Trainer,0.0,{'0': 1},
10,Diddy Kong,0.0,{'0': 4},
10,Lucas,0.0,{'0': 2},
10,Sonic,0.0,{'0': 1},
10,Olimar,0.0,{'0': 1},
10,Lucario,0.0,{'0': 2},
10,ROB,0.0,{'0': 2},
10,Toon Link,0.0,{'0': 1},
10,Sephiroth,0.0,{'0': 4},
10,Villager,0.0,{'0': 2},
10,Mega Man,0.0,{'0': 1},
10,Wii Fit Trainer,0.0,{'0': 2},
10,Rosalina and Luma,0.0,{'0': 3},
10,Greninja,0.0,{'0': 2},
10,Palutena,0.0,{'0': 2},
10,Robin,0.0,{'0': 1},
10,Shulk,0.0,{'0': 1},
10,Bowser Jr,0.0,{'0': 2},
10,Duck Hunt,0.0,{'0': 1},
10,Ryu,0.0,{'0': 1},
10,Ken,0.0,{'0': 2},
10,Corrin,0.0,{'0': 1},
10,Bayonetta,0.0,{'0': 2},
10,Inkling,0.0,{'0': 1},
10,Ridley,0.0,{'0': 1},
10,Simon,0.0,{'0': 3},
10,Richter,0.0,{'0': 2},
10,Isabelle,0.0,{'0': 1},
10,Incineroar,0.0,{'0': 1},
10,Piranha Plant,0.0,{'0': 2},
10,Joker,0.0,{'0': 3},
10,Hero,0.0,{'0': 1},
10,Terry,0.0,{'0': 2},
10,Byleth,0.0,{'0': 2},
10,Min Min,0.0,{'0': 2},
10,Steve,0.0,{'0': 3},
10,Pyra-Mythra,0.0,{'0': 4},
10,Kazuya,0.0,{'0': 1},
10,Sora,0.0,{'0': 3},
10,Mii Brawler,0.0,"{'0': 2, '5': 1}",
10,Mii Swordsman,0.0,{'0': 1},
10,Mii Gunner,0.0,{'0': 1},
