rank,character,read_value,candidates,correct
1,Greninja,4.0,{'4.0': 3},
2,Piranha Plant,3.0,{'3.0': 3},
3,Wii Fit Trainer,2.75,{'2.75': 3},
4,King K Rool,2.41,{'2.41': 6},
5,Ganondorf,2.33,{'2.33': 6},
6,Kirby,2.01,{'2.01': 6},
7,Donkey Kong,2.0,{'2.0': 6},
7,Ike,2.0,{'2.0': 6},
9,Pac-Man,1.75,"{'1.75': 2, '0.75': 1}",
10,Isabelle,1.65,{'1.65': 3},
11,Captain Falcon,1.34,{'1.34': 3},
12,ROB,1.0,{'1.0': 3},
12,Villager,1.0,{'1.0': 3},
14,Mario,0.0,{'0.0': 3},
14,Link,0.0,{'0.0': 3},
14,Samus,0.0,{'0.0': 3},
14,Dark Samus,0.0,{'0.0': 3},
14,Yoshi,0.0,{'0.0': 3},
14,Fox,0.0,{'0.0': 3},
14,Pikachu,0.0,{'0.0': 3},
14,Luigi,0.0,{'0.0': 3},
14,Ness,0.0,{'0.0': 3},
14,Jigglypuff,0.0,{'0.0': 3},
14,Peach,0.0,{'0.0': 3},
14,Daisy,0.0,{'0.0': 3},
14,Bowser,0.0,{'0.0': 3},
14,Ice Climbers,0.0,{'0.0': 3},
14,Sheik,0.0,{'0.0': 3},
14,Zelda,0.0,{'0.0': 3},
14,Dr Mario,0.0,{'0.0': 3},
14,Pichu,0.0,{'0.0': 3},
14,Falco,0.0,{'0.0': 3},
14,Marth,0.0,{'0.0': 3},
14,Lucina,0.0,{'0.0': 3},
14,Young Link,0.0,{'0.0': 3},
14,Mewtwo,0.0,{'0.0': 3},
14,Roy,0.0,{'0.0': 3},
14,Chrom,0.0,{'0.0': 3},
14,Mr Game and Watch,0.0,{'0.0': 3},
14,Meta Knight,0.0,{'0.0': 3},
14,Pit,0.0,{'0.0': 3},
14,Dark Pit,0.0,{'0.0': 3},
14,Zero Suit Samus,0.0,{'0.0': 3},
14,Wario,0.0,{'0.0': 3},
14,Snake,0.0,{'0.0': 3},
14,Pokemon Trainer,0.0,{'0.0': 3},
14,Diddy Kong,0.0,{'0.0': 3},
14,Lucas,0.0,{'0.0': 3},
14,Sonic,0.0,{'0.0': 3},
14,King Dedede,0.0,{'0.0': 3},
14,Olimar,0.0,{'0.0': 3},
14,Lucario,0.0,{'0.0': 3},
14,Toon Link,0.0,{'0.0': 3},
14,Sephiroth,0.0,{'0.0': 9},
14,Mega Man,0.0,{'0.0': 3},
14,Rosalina and Luma,0.0,{'0.0': 3},
14,Little Mac,0.0,{'0.0': 3},
14,Palutena,0.0,{'0.0': 3},
14,Robin,0.0,{'0.0': 3},
14,Shulk,0.0,{'0.0': 3},
14,Bowser Jr,0.0,{'0.0': 3},
14,Duck Hunt,0.0,{'0.0': 3},
14,Ryu,0.0,{'0.0': 3},
14,Ken,0.0,{'0.0': 3},
14,Cloud,0.0,{'0.0': 3},
14,Corrin,0.0,{'0.0': 3},
14,Bayonetta,0.0,{'0.0': 3},
14,Inkling,0.0,{'0.0': 3},
14,Ridley,0.0,{'0.0': 3},
14,Simon,0.0,{'0.0': 3},
14,Richter,0.0,{'0.0': 3},
14,Incineroar,0.0,{'0.0': 3},
14,Joker,0.0,{'0.0': 3},
14,Hero,0.0,{'0.0': 3},
14,Banjo and Kazooie,0.0,{'0.0': 3},
14,Terry,0.0,{'0.0': 3},
14,Byleth,0.0,{'0.0': 3},
14,Min Min,0.0,{'0.0': 3},
14,Steve,0.0,{'0.0': 6},
14,Pyra-Mythra,0.0,{'0.0': 6},
14,Kazuya,0.0,{'0.0': 6},
14,Sora,0.0,{'0.0': 6},
14,Mii Brawler,0.0,{'0.0': 6},
14,Mii Swordsman,0.0,{'0.0': 6},
14,Mii Gunner,0.0,{'0.0': 3},
