rank,character,read_value,candidates,correct
1,Kirby,2.0,{'2': 3},
1,Pac-Man,2.0,{'2': 3},
1,King K Rool,2.0,{'2': 3},
1,Isabelle,2.0,{'2': 6},
5,Piranha Plant,1.0,{'1': 6},
6,Donkey Kong,0.0,{'0': 4},
6,Captain Falcon,0.0,{'0': 3},
6,Ganondorf,0.0,{'0': 4},
6,Ike,0.0,{'0': 2},
6,ROB,0.0,{'0': 1},
6,Villager,0.0,{'0': 1},
6,Wii Fit Trainer,0.0,{'0': 2},
6,Greninja,0.0,{'0': 1},
6,Mario,0.0,{'0': 2},
6,Link,0.0,{'0': 3},
6,Samus,0.0,{'0': 2},
6,Dark Samus,0.0,{'0': 3},
6,Yoshi,0.0,{'0': 1},
6,Fox,0.0,{'0': 1},
6,Pikachu,0.0,{'0': 2},
6,Luigi,0.0,{'0': 2},
6,Ness,0.0,{'0': 1},
6,Jigglypuff,0.0,{'0': 2},
6,Peach,0.0,{'0': 1},
6,Daisy,0.0,{'0': 1},
6,Bowser,0.0,{'0': 3},
6,Ice Climbers,0.0,{'0': 2},
6,Sheik,0.0,{'0': 1},
6,Zelda,0.0,{'0': 2},
6,Dr Mario,0.0,{'0': 2},
6,Pichu,0.0,{'0': 2},
6,Falco,0.0,{'0': 1},
6,Marth,0.0,{'0': 2},
6,Lucina,0.0,{'0': 2},
6,Young Link,0.0,{'0': 1},
6,Mewtwo,0.0,{'0': 2},
6,Roy,0.0,{'0': 3},
6,Chrom,0.0,{'0': 2},
6,Mr Game and Watch,0.0,{'0': 3},
6,Meta Knight,0.0,{'0': 2},
6,Dark Pit,0.0,{'0': 2},
6,Zero Suit Samus,0.0,{'0': 2},
6,Wario,0.0,{'0': 2},
6,Snake,0.0,{'0': 2},
6,Pokemon Trainer,0.0,{'0': 2},
6,Diddy Kong,0.0,{'0': 2},
6,Lucas,0.0,{'0': 1},
6,Sonic,0.0,{'0': 1},
6,King Dedede,0.0,{'0': 1},
6,Olimar,0.0,{'0': 2},
6,Lucario,0.0,{'0': 3},
6,Toon Link,0.0,{'0': 2},
6,Sephiroth,0.0,{'0': 5},
6,Mega Man,0.0,{'0': 1},
6,Rosalina and Luma,0.0,{'0': 2},
6,Little Mac,0.0,{'0': 1},
6,Palutena,0.0,{'0': 3},
6,Robin,0.0,{'0': 3},
6,Shulk,0.0,{'0': 3},
6,Bowser Jr,0.0,{'0': 2},
6,Duck Hunt,0.0,{'0': 1},
6,Ryu,0.0,{'0': 2},
6,Ken,0.0,{'0': 3},
6,Cloud,0.0,{'0': 2},
6,Corrin,0.0,{'0': 3},
6,Bayonetta,0.0,{'0': 3},
6,Inkling,0.0,{'0': 2},
6,Ridley,0.0,{'0': 1},
6,Simon,0.0,{'0': 1},
6,Richter,0.0,{'0': 1},
6,Incineroar,0.0,{'0': 2},
6,Joker,0.0,{'0': 2},
6,Hero,0.0,{'0': 2},
6,Banjo and Kazooie,0.0,{'0': 2},
6,Terry,0.0,{'0': 1},
6,Byleth,0.0,{'0': 1},
6,Min Min,0.0,{'0': 3},
6,Steve,0.0,{'0': 4},
6,Pyra-Mythra,0.0,{'0': 4},
6,Kazuya,0.0,{'0': 2},
6,Sora,0.0,{'0': 3},
6,Mii Brawler,0.0,{'0': 4},
6,Mii Swordsman,0.0,{'0': 1},
6,Mii Gunner,0.0,{'0': 1},
