rank,character,read_value,candidates,correct
1,Wolf,1337.0,"{'1337': 3, '19': 3}",
2,King K Rool,787.0,{'787': 3},
3,ROB,661.0,{'661': 3},
4,Incineroar,495.0,{'495': 3},
5,Hero,458.0,{'458': 3},
6,Diddy Kong,452.0,{'452': 3},
7,Mewtwo,414.0,{'414': 3},
8,Bowser,212.0,{'212': 6},
9,Wii Fit Trainer,194.0,{'194': 3},
10,Donkey Kong,142.0,{'142': 3},
11,Snake,132.0,{'132': 3},
12,Kazuya,111.0,{'111': 2},
13,Bayonetta,84.0,{'84': 3},
14,Ganondorf,50.0,"{'90': 2, '50': 1}",
15,Banjo and Kazooie,33.0,{'33': 6},
16,Ridley,27.0,{'27': 3},
17,Richter,24.0,{'24': 3},
18,Captain Falcon,19.0,{'19': 3},
19,Sora,17.0,"{'17': 2, '7': 1}",
20,Samus,16.0,{'16': 3},
21,Cloud,15.0,"{'15': 5, '150': 1}",
21,Inkling,15.0,{'15': 3},
21,Terry,15.0,{'15': 3},
21,Sephiroth,15.0,{'15': 3},
25,Byleth,14.0,{'14': 3},
26,Villager,13.0,{'13': 3},
27,Pokemon Trainer,12.0,{'12': 3},
27,Piranha Plant,12.0,{'12': 3},
29,Greninja,11.0,{'11': 2},
30,Mario,9.0,{'9': 2},
30,Ice Climbers,9.0,{'9': 2},
30,Zero Suit Samus,9.0,{'9': 2},
30,Little Mac,9.0,{'9': 3},
30,Simon,9.0,{'9': 3},
35,Link,8.0,{'8': 2},
35,Mii Gunner,8.0,{'8': 2},
37,Yoshi,6.0,{'6': 3},
37,Kirby,6.0,{'6': 3},
37,Luigi,6.0,{'6': 3},
37,Young Link,6.0,{'6': 3},
37,Roy,6.0,{'6': 3},
37,Mr Game and Watch,6.0,{'6': 3},
37,Ike,6.0,{'6': 3},
37,Pac-Man,6.0,{'6': 3},
37,Ryu,6.0,{'6': 3},
37,Corrin,6.0,{'6': 3},
37,Steve,6.0,{'6': 2},
37,Lucario,6.0,"{'6': 2, '5': 1}",
49,Pichu,5,{'5': 3},
50,Fox,3.0,{'3': 3},
50,Pikachu,3.0,{'3': 3},
50,Ness,3.0,{'3': 3},
50,Jigglypuff,3.0,{'3': 3},
50,Peach,3.0,{'3': 1},
50,Zelda,3.0,{'3': 3},
50,Marth,3.0,{'3': 3},
50,Lucina,3.0,{'3': 3},
50,Lucas,3.0,{'3': 3},
50,Toon Link,3.0,{'3': 3},
50,Mega Man,3.0,{'3': 1},
50,Palutena,3.0,{'3': 3},
50,Robin,3.0,{'3': 3},
50,Bowser Jr,3.0,{'3': 3},
50,Duck Hunt,3.0,{'3': 3},
50,Ken,3.0,{'3': 3},
50,Joker,3.0,{'3': 3},
50,Min Min,3.0,{'3': 3},
68,Sonic,2.0,{'2': 3},
69,Falco,1.0,{'1': 3},
70,Dark Samus,0.0,{'0': 1},
70,Daisy,0.0,{'0': 2},
70,Sheik,0.0,{'0': 2},
70,Dr Mario,0.0,{'0': 1},
70,Chrom,0.0,{'0': 2},
70,Meta Knight,0.0,{'0': 1},
70,Pit,0.0,{'0': 1},
70,Dark Pit,0.0,{'0': 3},
70,King Dedede,0.0,{'0': 5},
70,Olimar,0.0,{'0': 3},
70,Rosalina and Luma,0.0,{'0': 4},
70,Shulk,0.0,{'0': 1},
70,Isabelle,0.0,{'0': 2},
70,Pyra-Mythra,0.0,{'0': 2},
70,Mii Brawler,0.0,{'0': 2},
70,Mii Swordsman,0.0,{'0': 3},
