rank,character,read_value,candidates,correct
1,Kirby,18314.0,{'18314': 1},
2,King K Rool,17461.0,{'17461': 3},
3,Isabelle,12715.0,{'12715': 3},
4,Pac-Man,11444.0,{'11444': 4},
5,Captain Falcon,7773.0,"{'7773': 4, '1773': 2}",
6,Donkey Kong,1491.0,{'1491': 6},
7,Wii Fit Trainer,1205.0,{'1205': 6},
8,Greninja,721.0,{'721': 6},
9,Ike,476.0,{'476': 3},
10,Piranha Plant,371.0,{'371': 3},
11,Ganondorf,369.0,{'369': 6},
12,Villager,343.0,{'343': 3},
13,ROB,253.0,{'253': 3},
14,Mario,0.0,{'0': 1},
14,Link,0.0,{'0': 2},
14,Samus,0.0,{'0': 2},
14,Dark Samus,0.0,{'0': 1},
14,Yoshi,0.0,{'0': 2},
14,Fox,0.0,{'0': 3},
14,Pikachu,0.0,{'0': 1},
14,Luigi,0.0,{'0': 1},
14,Ness,0.0,{'0': 2},
14,Jigglypuff,0.0,{'0': 3},
14,Peach,0.0,{'0': 2},
14,Daisy,0.0,{'0': 1},
14,Bowser,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 1},
14,Sheik,0.0,{'0': 1},
14,Zelda,0.0,{'0': 3},
14,Dr Mario,0.0,{'0': 2},
14,Pichu,0.0,{'0': 3},
14,Falco,0.0,{'0': 1},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 3},
14,Young Link,0.0,{'0': 2},
14,Mewtwo,0.0,{'0': 3},
14,Roy,0.0,{'0': 3},
14,Chrom,0.0,{'0': 1},
14,Mr Game and Watch,0.0,{'0': 3},
14,Meta Knight,0.0,{'0': 1},
14,Pit,0.0,{'0': 2},
14,Dark Pit,0.0,{'0': 2},
14,Zero Suit Samus,0.0,{'0': 2},
14,Wario,0.0,{'0': 1},
14,Snake,0.0,{'0': 1},
14,Pokemon Trainer,0.0,{'0': 1},
14,Diddy Kong,0.0,{'0': 2},
14,Lucas,0.0,{'0': 1},
14,Sonic,0.0,{'0': 1},
14,King Dedede,0.0,{'0': 1},
14,Olimar,0.0,{'0': 3},
14,Lucario,0.0,{'0': 2},
14,Toon Link,0.0,{'0': 3},
14,Sephiroth,0.0,{'0': 7},
14,Mega Man,0.0,{'0': 1},
14,Rosalina and Luma,0.0,{'0': 2},
14,Little Mac,0.0,{'0': 2},
14,Palutena,0.0,{'0': 3},
14,Robin,0.0,{'0': 2},
14,Shulk,0.0,{'0': 2},
14,Bowser Jr,0.0,{'0': 2},
14,Duck Hunt,0.0,{'0': 1},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 2},
14,Corrin,0.0,{'0': 2},
14,Bayonetta,0.0,{'0': 2},
14,Inkling,0.0,{'0': 1},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 2},
14,Richter,0.0,{'0': 2},
14,Incineroar,0.0,{'0': 2},
14,Joker,0.0,{'0': 3},
14,Hero,0.0,{'0': 3},
14,Banjo and Kazooie,0.0,{'0': 1},
14,Terry,0.0,{'0': 1},
14,Byleth,0.0,{'0': 2},
14,Min Min,0.0,{'0': 2},
14,Steve,0.0,{'0': 3},
14,Pyra-Mythra,0.0,{'0': 5},
14,Kazuya,0.0,{'0': 3},
14,Sora,0.0,{'0': 4},
14,Mii Brawler,0.0,{'0': 1},
14,Mii Swordsman,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 2},
