rank,character,read_value,candidates,correct
1,Greninja,100.0,{'100.0': 3},
1,Piranha Plant,100.0,{'100.0': 3},
3,Wii Fit Trainer,75.0,{'75.0': 3},
4,Ganondorf,66.66,{'66.66': 3},
5,Pac-Man,55.55,"{'99.95': 2, '55.55': 2, '39.99': 2}",
6,Kirby,52.0,"{'92.0': 2, '52.0': 4}",
7,King K Rool,50.0,{'50.0': 6},
7,Isabelle,50.0,{'50.0': 6},
9,Donkey Kong,40.0,{'40.0': 3},
10,Captain Falcon,13.38,"{'13.38': 2, '15.38': 1}",
11,Ike,0.0,{'0.0': 3},
11,ROB,0.0,{'0.0': 3},
11,Villager,0.0,{'0.0': 3},
11,Mario,0.0,{'0.0': 3},
11,Link,0.0,{'0.0': 3},
11,Samus,0.0,{'0.0': 3},
11,Dark Samus,0.0,{'0.0': 3},
11,Yoshi,0.0,{'0.0': 3},
11,Fox,0.0,{'0.0': 6},
11,Pikachu,0.0,{'0.0': 3},
11,Luigi,0.0,{'0.0': 3},
11,Ness,0.0,{'0.0': 3},
11,Jigglypuff,0.0,{'0.0': 3},
11,Peach,0.0,{'0.0': 3},
11,Daisy,0.0,{'0.0': 3},
11,Bowser,0.0,{'0.0': 6},
11,Ice Climbers,0.0,{'0.0': 3},
11,Sheik,0.0,{'0.0': 3},
11,Zelda,0.0,{'0.0': 3},
11,Dr Mario,0.0,{'0.0': 3},
11,Pichu,0.0,{'0.0': 3},
11,Falco,0.0,{'0.0': 3},
11,Marth,0.0,{'0.0': 6},
11,Lucina,0.0,{'0.0': 3},
11,Young Link,0.0,{'0.0': 3},
11,Mewtwo,0.0,{'0.0': 3},
11,Roy,0.0,{'0.0': 3},
11,Chrom,0.0,{'0.0': 3},
11,Mr Game and Watch,0.0,{'0.0': 3},
11,Meta Knight,0.0,{'0.0': 6},
11,Pit,0.0,{'0.0': 3},
11,Dark Pit,0.0,{'0.0': 3},
11,Zero Suit Samus,0.0,{'0.0': 3},
11,Wario,0.0,{'0.0': 3},
11,Snake,0.0,{'0.0': 3},
11,Pokemon Trainer,0.0,{'0.0': 3},
11,Diddy Kong,0.0,{'0.0': 3},
11,Lucas,0.0,{'0.0': 3},
11,Sonic,0.0,{'0.0': 3},
11,King Dedede,0.0,{'0.0': 3},
11,Olimar,0.0,{'0.0': 3},
11,Lucario,0.0,{'0.0': 3},
11,Toon Link,0.0,{'0.0': 3},
11,Sephiroth,0.0,{'0.0': 9},
11,Mega Man,0.0,{'0.0': 3},
11,Rosalina and Luma,0.0,{'0.0': 3},
11,Little Mac,0.0,{'0.0': 3},
11,Palutena,0.0,{'0.0': 3},
11,Robin,0.0,{'0.0': 3},
11,Shulk,0.0,{'0.0': 3},
11,Bowser Jr,0.0,{'0.0': 3},
11,Duck Hunt,0.0,{'0.0': 3},
11,Ryu,0.0,{'0.0': 3},
11,Ken,0.0,{'0.0': 3},
11,Cloud,0.0,{'0.0': 3},
11,Corrin,0.0,{'0.0': 3},
11,Bayonetta,0.0,{'0.0': 3},
11,Inkling,0.0,{'0.0': 3},
11,Ridley,0.0,{'0.0': 3},
11,Simon,0.0,{'0.0': 3},
11,Richter,0.0,{'0.0': 3},
11,Incineroar,0.0,{'0.0': 3},
11,Joker,0.0,{'0.0': 3},
11,Hero,0.0,{'0.0': 3},
11,Banjo and Kazooie,0.0,{'0.0': 3},
11,Terry,0.0,{'0.0': 3},
11,Byleth,0.0,{'0.0': 3},
11,Min Min,0.0,{'0.0': 3},
11,Steve,0.0,{'0.0': 6},
11,Pyra-Mythra,0.0,{'0.0': 6},
11,Kazuya,0.0,{'0.0': 6},
11,Sora,0.0,{'0.0': 6},
11,Mii Brawler,0.0,{'0.0': 3},
11,Mii Swordsman,0.0,{'0.0': 3},
11,Mii Gunner,0.0,{'0.0': 3},
