rank,character,read_value,candidates,correct
1,Hero,110.0,{'110': 3},
2,Ness,78.0,"{'78': 2, '18': 1}",
3,Wii Fit Trainer,17.0,"{'17': 2, '7': 1}",
4,Daisy,12.0,{'12': 3},
4,Falco,12.0,{'12': 3},
6,Wolf,0.0,"{'4': 3, '0': 4, '8': 1}",
6,Mario,0.0,{'0': 1},
6,Donkey Kong,0.0,{'0': 5},
6,Link,0.0,{'0': 2},
6,Samus,0.0,{'0': 1},
6,Dark Samus,0.0,{'0': 1},
6,Yoshi,0.0,{'0': 3},
6,Kirby,0.0,{'0': 2},
6,Fox,0.0,{'0': 1},
6,Pikachu,0.0,{'0': 2},
6,Luigi,0.0,{'0': 2},
6,Captain Falcon,0.0,{'0': 1},
6,Jigglypuff,0.0,{'0': 1},
6,Peach,0.0,{'0': 2},
6,Bowser,0.0,{'0': 2},
6,Ice Climbers,0.0,{'0': 1},
6,Sheik,0.0,{'0': 4},
6,Zelda,0.0,{'0': 2},
6,Dr Mario,0.0,{'0': 1},
6,Pichu,0.0,{'0': 2},
6,Marth,0.0,{'0': 2},
6,Lucina,0.0,{'0': 2},
6,Young Link,0.0,{'0': 1},
6,Ganondorf,0.0,{'0': 2},
6,Mewtwo,0.0,{'0': 1},
6,Roy,0.0,{'0': 1},
6,Chrom,0.0,{'0': 1},
6,Mr Game and Watch,0.0,{'0': 1},
6,Pit,0.0,"{'0': 1, '8': 1}",
6,Dark Pit,0.0,{'0': 2},
6,Zero Suit Samus,0.0,{'0': 1},
6,Snake,0.0,{'0': 1},
6,Ike,0.0,{'0': 1},
6,Pokemon Trainer,0.0,{'0': 1},
6,Diddy Kong,0.0,{'0': 3},
6,Lucas,0.0,{'0': 2},
6,Sonic,0.0,{'0': 1},
6,Olimar,0.0,{'0': 2},
6,Lucario,0.0,{'0': 1},
6,ROB,0.0,{'0': 1},
6,Villager,0.0,{'0': 2},
6,Mega Man,0.0,{'0': 1},
6,Little Mac,0.0,{'0': 1},
6,Palutena,0.0,{'0': 4},
6,Pac-Man,0.0,{'0': 2},
6,Robin,0.0,{'0': 2},
6,Shulk,0.0,{'0': 1},
6,Duck Hunt,0.0,{'0': 2},
6,Ryu,0.0,{'0': 3},
6,Ken,0.0,{'0': 1},
6,Cloud,0.0,{'0': 2},
6,Corrin,0.0,{'0': 2},
6,Bayonetta,0.0,{'0': 1},
6,Inkling,0.0,{'0': 1},
6,Ridley,0.0,{'0': 1},
6,Simon,0.0,{'0': 2},
6,Richter,0.0,{'0': 1},
6,Isabelle,0.0,{'0': 2},
6,Incineroar,0.0,{'0': 2},
6,Piranha Plant,0.0,{'0': 1},
6,Joker,0.0,{'0': 1},
6,Banjo and Kazooie,0.0,{'0': 1},
6,Terry,0.0,{'0': 1},
6,Byleth,0.0,{'0': 2},
6,Min Min,0.0,{'0': 1},
6,Steve,0.0,{'0': 2},
6,Sephiroth,0.0,{'0': 1},
6,Sora,0.0,{'0': 1},
6,Mii Brawler,0.0,{'0': 1},
6,Mii Gunner,0.0,{'0': 2},
6,King Dedede,0.0,{'0': 2},
6,Toon Link,0.0,{'0': 3},
6,Rosalina and Luma,0.0,{'0': 5},
6,Greninja,0.0,{'0': 1},
6,Bowser Jr,0.0,{'0': 1},
6,King K Rool,0.0,{'0': 2},
6,Pyra-Mythra,0.0,{'0': 2},
6,Kazuya,0.0,{'0': 1},
6,Mii Swordsman,0.0,{'0': 2},
