rank,character,read_value,candidates,correct
1,Kirby,20012.0,{'20012': 1},
2,King K Rool,17277.0,{'17277': 3},
3,Isabelle,10748.0,{'10748': 3},
4,Pac-Man,10722.0,{'10722': 4},
5,Captain Falcon,8814.0,{'8814': 6},
6,Donkey Kong,1892.0,{'1892': 6},
7,Wii Fit Trainer,1169.0,{'1169': 6},
8,Ganondorf,615.0,{'615': 6},
9,Piranha Plant,579.0,"{'29': 2, '579': 1}",
10,Ike,429.0,{'429': 3},
11,Greninja,280.0,{'280': 6},
12,Villager,266.0,{'266': 3},
13,ROB,71.0,"{'1717': 2, '71': 1}",
14,Mario,0.0,{'0': 2},
14,Link,0.0,{'0': 2},
14,Samus,0.0,{'0': 3},
14,Dark Samus,0.0,{'0': 1},
14,Yoshi,0.0,{'0': 1},
14,Fox,0.0,{'0': 2},
14,Pikachu,0.0,{'0': 1},
14,Luigi,0.0,{'0': 2},
14,Ness,0.0,{'0': 3},
14,Jigglypuff,0.0,{'0': 2},
14,Peach,0.0,{'0': 2},
14,Daisy,0.0,{'0': 1},
14,Bowser,0.0,{'0': 1},
14,Ice Climbers,0.0,{'0': 3},
14,Sheik,0.0,{'0': 1},
14,Zelda,0.0,{'0': 1},
14,Dr Mario,0.0,{'0': 2},
14,Pichu,0.0,{'0': 1},
14,Falco,0.0,{'0': 1},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 1},
14,Young Link,0.0,{'0': 1},
14,Mewtwo,0.0,{'0': 2},
14,Roy,0.0,{'0': 2},
14,Chrom,0.0,{'0': 3},
14,Mr Game and Watch,0.0,{'0': 2},
14,Meta Knight,0.0,{'0': 2},
14,Pit,0.0,{'0': 2},
14,Dark Pit,0.0,{'0': 2},
14,Zero Suit Samus,0.0,{'0': 2},
14,Wario,0.0,{'0': 2},
14,Snake,0.0,{'0': 2},
14,Pokemon Trainer,0.0,{'0': 2},
14,Diddy Kong,0.0,{'0': 1},
14,Lucas,0.0,{'0': 3},
14,Sonic,0.0,{'0': 2},
14,King Dedede,0.0,{'0': 1},
14,Olimar,0.0,{'0': 2},
14,Lucario,0.0,{'0': 2},
14,Toon Link,0.0,{'0': 1},
14,Sephiroth,0.0,{'0': 3},
14,Mega Man,0.0,{'0': 2},
14,Rosalina and Luma,0.0,{'0': 1},
14,Little Mac,0.0,{'0': 1},
14,Palutena,0.0,{'0': 2},
14,Robin,0.0,{'0': 1},
14,Shulk,0.0,{'0': 1},
14,Bowser Jr,0.0,{'0': 1},
14,Duck Hunt,0.0,{'0': 1},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 2},
14,Corrin,0.0,{'0': 1},
14,Bayonetta,0.0,{'0': 2},
14,Inkling,0.0,{'0': 2},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 3},
14,Richter,0.0,{'0': 2},
14,Incineroar,0.0,{'0': 1},
14,Joker,0.0,{'0': 2},
14,Hero,0.0,{'0': 2},
14,Banjo and Kazooie,0.0,{'0': 2},
14,Terry,0.0,{'0': 1},
14,Byleth,0.0,{'0': 1},
14,Min Min,0.0,{'0': 1},
14,Steve,0.0,{'0': 2},
14,Pyra-Mythra,0.0,{'0': 5},
14,Kazuya,0.0,{'0': 5},
14,Sora,0.0,{'0': 3},
14,Mii Brawler,0.0,{'0': 4},
14,Mii Swordsman,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 2},
