rank,character,read_value,candidates,correct
1,Samus,4.0,{'4': 3},
2,Donkey Kong,1.0,{'1': 3},
2,Young Link,1.0,{'1': 3},
2,Zero Suit Samus,1.0,{'1': 3},
2,Isabelle,1.0,{'1': 3},
2,Terry,1.0,{'1': 3},
7,Link,0.0,{'0': 1},
7,Dark Samus,0.0,{'0': 1},
7,Yoshi,0.0,{'0': 1},
7,Ness,0.0,{'0': 2},
7,Captain Falcon,0.0,{'0': 2},
7,Peach,0.0,{'0': 2},
7,Daisy,0.0,{'0': 2},
7,Sheik,0.0,{'0': 2},
7,Pichu,0.0,{'0': 1},
7,Falco,0.0,{'0': 2},
7,Marth,0.0,{'0': 2},
7,Lucina,0.0,{'0': 1},
7,Ganondorf,0.0,{'0': 1},
7,Pit,0.0,{'0': 1},
7,Wario,0.0,{'0': 1},
7,Ike,0.0,{'0': 1},
7,Diddy Kong,0.0,{'0': 1},
7,Olimar,0.0,{'0': 2},
7,ROB,0.0,{'0': 1},
7,Toon Link,0.0,{'0': 2},
7,Wii Fit Trainer,0.0,{'0': 1},
7,Rosalina and Luma,0.0,{'0': 1},
7,Little Mac,0.0,{'0': 1},
7,Palutena,0.0,{'0': 4},
7,Cloud,0.0,{'0': 2},
7,Ridley,0.0,{'0': 2},
7,Simon,0.0,{'0': 1},
7,King K Rool,0.0,{'0': 1},
7,Incineroar,0.0,{'0': 2},
7,Joker,0.0,{'0': 2},
7,Hero,0.0,{'0': 2},
7,Banjo and Kazooie,0.0,{'0': 1},
7,Steve,0.0,{'0': 2},
7,Pyra-Mythra,0.0,{'0': 1},
7,Sora,0.0,{'0': 2},
7,Mario,0.0,{'0': 1},
7,Kirby,0.0,"{'0': 1, '6': 1}",
7,Fox,0.0,{'0': 2},
7,Pikachu,0.0,{'0': 1},
7,Luigi,0.0,{'0': 1},
7,Jigglypuff,0.0,{'0': 2},
7,Bowser,0.0,{'0': 1},
7,Ice Climbers,0.0,{'0': 1},
7,Zelda,0.0,{'0': 1},
7,Dr Mario,0.0,{'0': 2},
7,Mewtwo,0.0,{'0': 1},
7,Roy,0.0,{'0': 2},
7,Chrom,0.0,{'0': 2},
7,Mr Game and Watch,0.0,{'0': 2},
7,Meta Knight,0.0,{'0': 3},
7,Dark Pit,0.0,{'0': 2},
7,Snake,0.0,{'0': 1},
7,Pokemon Trainer,0.0,{'0': 2},
7,Lucas,0.0,{'0': 1},
7,Sonic,0.0,{'0': 1},
7,King Dedede,0.0,{'0': 1},
7,Lucario,0.0,{'0': 2},
7,Sephiroth,0.0,{'0': 3},
7,Villager,0.0,"{'0': 1, '6': 1}",
7,Mega Man,0.0,{'0': 2},
7,Greninja,0.0,{'0': 2},
7,Pac-Man,0.0,{'0': 1},
7,Robin,0.0,{'0': 2},
7,Shulk,0.0,"{'0': 1, '8': 1}",
7,Bowser Jr,0.0,{'0': 1},
7,Duck Hunt,0.0,{'0': 1},
7,Ryu,0.0,{'0': 1},
7,Ken,0.0,{'0': 2},
7,Corrin,0.0,{'0': 2},
7,Bayonetta,0.0,{'0': 3},
7,Inkling,0.0,{'0': 2},
7,Richter,0.0,{'0': 1},
7,Piranha Plant,0.0,{'0': 2},
7,Byleth,0.0,{'0': 4},
7,Min Min,0.0,{'0': 3},
7,Kazuya,0.0,{'0': 1},
7,Mii Brawler,0.0,{'0': 2},
7,Mii Swordsman,0.0,{'0': 1},
7,Mii Gunner,0.0,{'0': 1},
