rank,character,read_value,candidates,correct
1,Greninja,19.0,{'19': 3},
2,Joker,18.0,{'18': 3},
3,Kirby,10.0,{'10': 3},
3,Toon Link,10.0,{'10': 3},
5,Falco,9.0,{'9': 4},
6,Mr Game and Watch,1.0,{'1': 6},
6,Dark Pit,1.0,{'1': 6},
8,Mario,0.0,{'0': 4},
8,Samus,0.0,{'0': 2},
8,Fox,0.0,{'0': 2},
8,Bowser,0.0,{'0': 1},
8,Young Link,0.0,{'0': 1},
8,Ganondorf,0.0,{'0': 1},
8,Roy,0.0,{'0': 2},
8,Meta Knight,0.0,{'0': 3},
8,Pit,0.0,{'0': 1},
8,Pokemon Trainer,0.0,{'0': 1},
8,Diddy Kong,0.0,{'0': 2},
8,Sonic,0.0,{'0': 2},
8,Lucario,0.0,{'0': 3},
8,ROB,0.0,{'0': 2},
8,Rosalina and Luma,0.0,{'0': 1},
8,Steve,0.0,{'0': 1},
8,Donkey Kong,0.0,{'0': 1},
8,Link,0.0,{'0': 1},
8,Dark Samus,0.0,{'0': 1},
8,Yoshi,0.0,{'0': 2},
8,Pikachu,0.0,{'0': 2},
8,Luigi,0.0,{'0': 2},
8,Ness,0.0,{'0': 2},
8,Captain Falcon,0.0,{'0': 2},
8,Jigglypuff,0.0,{'0': 2},
8,Peach,0.0,{'0': 1},
8,Daisy,0.0,{'0': 1},
8,Ice Climbers,0.0,{'0': 2},
8,Sheik,0.0,{'0': 2},
8,Zelda,0.0,{'0': 2},
8,Dr Mario,0.0,"{'0': 1, '6': 1}",
8,Pichu,0.0,{'0': 2},
8,Marth,0.0,{'0': 2},
8,Lucina,0.0,{'0': 2},
8,Mewtwo,0.0,{'0': 2},
8,Chrom,0.0,{'0': 1},
8,Zero Suit Samus,0.0,{'0': 3},
8,Wario,0.0,{'0': 3},
8,Snake,0.0,{'0': 2},
8,Ike,0.0,{'0': 1},
8,Lucas,0.0,{'0': 3},
8,King Dedede,0.0,{'0': 2},
8,Olimar,0.0,{'0': 1},
8,Sephiroth,0.0,{'0': 6},
8,Villager,0.0,{'0': 1},
8,Mega Man,0.0,{'0': 1},
8,Wii Fit Trainer,0.0,{'0': 3},
8,Little Mac,0.0,{'0': 1},
8,Palutena,0.0,{'0': 2},
8,Pac-Man,0.0,{'0': 2},
8,Robin,0.0,{'0': 2},
8,Shulk,0.0,{'0': 1},
8,Bowser Jr,0.0,{'0': 2},
8,Duck Hunt,0.0,{'0': 2},
8,Ryu,0.0,{'0': 1},
8,Ken,0.0,{'0': 2},
8,Cloud,0.0,{'0': 3},
8,Corrin,0.0,{'0': 1},
8,Bayonetta,0.0,{'0': 1},
8,Inkling,0.0,{'0': 2},
8,Ridley,0.0,{'0': 2},
8,Simon,0.0,{'0': 3},
8,Richter,0.0,{'0': 2},
8,King K Rool,0.0,{'0': 1},
8,Isabelle,0.0,{'0': 3},
8,Incineroar,0.0,{'0': 1},
8,Piranha Plant,0.0,{'0': 1},
8,Hero,0.0,{'0': 3},
8,Banjo and Kazooie,0.0,{'0': 2},
8,Terry,0.0,{'0': 2},
8,Byleth,0.0,{'0': 1},
8,Min Min,0.0,{'0': 3},
8,Pyra-Mythra,0.0,{'0': 2},
8,Kazuya,0.0,{'0': 5},
8,Sora,0.0,{'0': 1},
8,Mii Brawler,0.0,{'0': 1},
8,Mii Swordsman,0.0,{'0': 2},
8,Mii Gunner,0.0,{'0': 2},
