rank,character,read_value,candidates,correct
1,Young Link,3139.0,{'3139': 3},
2,Jigglypuff,2220.0,{'2220': 3},
3,Captain Falcon,516.0,{'516': 3},
4,Shulk,474.0,{'474': 3},
5,Dr Mario,426.0,{'426': 3},
6,Ganondorf,358.0,{'358': 3},
7,Mario,254.0,{'254': 3},
8,Lucas,210.0,{'210': 3},
9,Daisy,175.0,{'175': 3},
10,Richter,106.0,{'106': 3},
11,Donkey Kong,87.0,"{'7': 2, '87': 1}",
12,Banjo and Kazooie,75.0,"{'75': 2, '15': 1}",
13,Steve,62.0,{'62': 3},
14,Roy,61.0,{'61': 3},
15,Terry,52.0,"{'92': 2, '52': 1}",
16,Byleth,44.0,{'44': 3},
17,Peach,42.0,{'42': 3},
17,Pichu,42.0,{'42': 3},
19,Wolf,36.0,"{'36': 3, '8': 3}",
19,Cloud,36.0,{'36': 3},
21,Sheik,35.0,{'35': 3},
22,Bowser Jr,34.0,{'34': 3},
23,Pikachu,33.0,{'33': 3},
24,Mr Game and Watch,30.0,{'30': 3},
25,Ness,23.0,{'23': 3},
25,Ike,23.0,{'23': 3},
25,Joker,23.0,{'23': 3},
28,Samus,17.0,"{'17': 2, '7': 1}",
28,Bowser,17.0,"{'17': 2, '7': 1}",
30,Hero,14.0,{'14': 3},
30,Sora,14.0,{'14': 3},
32,Incineroar,13.0,{'13': 1},
33,Zelda,12.0,{'12': 3},
33,Little Mac,12.0,{'12': 3},
35,Pit,11.0,{'11': 2},
35,Villager,11.0,{'11': 2},
35,Mega Man,11.0,{'11': 2},
35,Isabelle,11.0,{'11': 2},
39,Pac-Man,10.0,{'10': 3},
40,Link,9.0,{'9': 2},
40,Bayonetta,9.0,{'9': 2},
42,Marth,8.0,{'8': 3},
42,Palutena,8.0,"{'8': 1, '38': 1}",
42,Simon,8.0,{'8': 5},
45,Kirby,6.0,{'6': 3},
45,Sonic,6.0,{'6': 3},
45,Sephiroth,6.0,{'6': 3},
45,Kazuya,6.0,{'6': 3},
49,Fox,5.0,{'5': 1},
49,Luigi,5.0,{'5': 1},
49,Ice Climbers,5.0,{'5': 2},
49,Falco,5.0,{'5': 1},
49,Olimar,5.0,{'5': 3},
49,Inkling,5.0,{'5': 3},
49,King K Rool,5.0,"{'9': 2, '5': 1}",
56,Dark Pit,4.0,{'4': 3},
56,Diddy Kong,4.0,{'4': 3},
58,Lucina,3.0,{'3': 3},
58,Snake,3.0,{'3': 3},
58,Corrin,3.0,{'3': 3},
58,Ridley,3.0,{'3': 3},
58,Pyra-Mythra,3.0,{'3': 3},
58,Mii Gunner,3.0,{'3': 3},
64,Wario,2.0,{'2': 3},
64,King Dedede,2.0,{'2': 3},
64,Ryu,2.0,{'2': 3},
64,Mii Swordsman,2.0,{'2': 3},
68,Piranha Plant,1.0,{'1': 3},
69,Robin,0.0,{'0': 1},
69,Dark Samus,0.0,{'0': 2},
69,Yoshi,0.0,{'0': 2},
69,Mewtwo,0.0,{'0': 3},
69,Chrom,0.0,{'0': 2},
69,Zero Suit Samus,0.0,{'0': 2},
69,Pokemon Trainer,0.0,{'0': 1},
69,Lucario,0.0,{'0': 1},
69,ROB,0.0,{'0': 2},
69,Toon Link,0.0,{'0': 4},
69,Wii Fit Trainer,0.0,{'0': 3},
69,Rosalina and Luma,0.0,{'0': 2},
69,Greninja,0.0,{'0': 1},
69,Duck Hunt,0.0,{'0': 3},
69,Ken,0.0,{'0': 1},
69,Min Min,0.0,{'0': 1},
69,Mii Brawler,0.0,{'0': 2},
