rank,character,read_value,candidates,correct
1,Ike,2.0,{'2': 3},
1,Little Mac,2.0,{'2': 3},
3,Lucario,1.0,{'1': 3},
3,Greninja,1.0,{'1': 3},
3,Banjo and Kazooie,1.0,{'1': 3},
3,Steve,1.0,{'1': 3},
3,Sephiroth,1.0,"{'1': 3, '0': 2}",
3,Sora,1.0,{'1': 6},
9,Donkey Kong,0.0,{'0': 2},
9,Link,0.0,{'0': 2},
9,Samus,0.0,{'0': 2},
9,Kirby,0.0,{'0': 2},
9,Fox,0.0,{'0': 1},
9,Pikachu,0.0,{'0': 1},
9,Luigi,0.0,{'0': 3},
9,Captain Falcon,0.0,{'0': 2},
9,Jigglypuff,0.0,{'0': 1},
9,Peach,0.0,{'0': 2},
9,Bowser,0.0,{'0': 1},
9,Ice Climbers,0.0,{'0': 1},
9,Sheik,0.0,{'0': 3},
9,Zelda,0.0,{'0': 3},
9,Dr Mario,0.0,{'0': 2},
9,Falco,0.0,{'0': 1},
9,Marth,0.0,{'0': 2},
9,Young Link,0.0,{'0': 2},
9,Ganondorf,0.0,{'0': 2},
9,Roy,0.0,{'0': 1},
9,Mr Game and Watch,0.0,{'0': 1},
9,Meta Knight,0.0,{'0': 3},
9,Pit,0.0,{'0': 2},
9,Dark Pit,0.0,{'0': 1},
9,Wario,0.0,{'0': 2},
9,Snake,0.0,{'0': 1},
9,Diddy Kong,0.0,{'0': 1},
9,Sonic,0.0,{'0': 1},
9,King Dedede,0.0,{'0': 3},
9,Olimar,0.0,{'0': 2},
9,Toon Link,0.0,{'0': 2},
9,Mega Man,0.0,{'0': 1},
9,Rosalina and Luma,0.0,{'0': 1},
9,Robin,0.0,{'0': 1},
9,Shulk,0.0,{'0': 4},
9,Bowser Jr,0.0,{'0': 2},
9,Duck Hunt,0.0,{'0': 2},
9,Ryu,0.0,{'0': 3},
9,Cloud,0.0,{'0': 3},
9,Corrin,0.0,{'0': 2},
9,Inkling,0.0,{'0': 1},
9,Simon,0.0,{'0': 2},
9,Richter,0.0,{'0': 3},
9,King K Rool,0.0,{'0': 2},
9,Isabelle,0.0,{'0': 3},
9,Joker,0.0,{'0': 2},
9,Hero,0.0,{'0': 2},
9,Terry,0.0,{'0': 1},
9,Byleth,0.0,{'0': 1},
9,Pyra-Mythra,0.0,{'0': 3},
9,Kazuya,0.0,{'0': 2},
9,Mii Swordsman,0.0,{'0': 1},
9,Mario,0.0,{'0': 2},
9,Dark Samus,0.0,{'0': 2},
9,Yoshi,0.0,{'0': 2},
9,Ness,0.0,{'0': 1},
9,Daisy,0.0,{'0': 2},
9,Pichu,0.0,{'0': 2},
9,Lucina,0.0,{'0': 1},
9,Mewtwo,0.0,{'0': 2},
9,Chrom,0.0,{'0': 1},
9,Zero Suit Samus,0.0,{'0': 1},
9,Pokemon Trainer,0.0,{'0': 2},
9,Lucas,0.0,{'0': 4},
9,ROB,0.0,{'0': 2},
9,Villager,0.0,{'0': 3},
9,Wii Fit Trainer,0.0,{'0': 1},
9,Palutena,0.0,{'0': 2},
9,Pac-Man,0.0,{'0': 2},
9,Ken,0.0,{'0': 6},
9,Bayonetta,0.0,{'0': 6},
9,Ridley,0.0,{'0': 3},
9,Incineroar,0.0,{'0': 2},
9,Piranha Plant,0.0,{'0': 3},
9,Min Min,0.0,{'0': 4},
9,Mii Brawler,0.0,{'0': 2},
9,Mii Gunner,0.0,{'0': 4},
